from_table,from_col,to_table,to_col
location_version,nma_data_reliability,lexicon_term,term
observation_version,nma_data_quality,lexicon_term,term
transaction,user_id,"""user""",id
analysis_method,source_organization,lexicon_term,term
analysis_method,analysis_method_type,lexicon_term,term
analysis_method,release_status,lexicon_term,term
aquifer_system,geographic_scale,lexicon_term,term
aquifer_system,release_status,lexicon_term,term
aquifer_system,primary_aquifer_type,lexicon_term,term
asset,release_status,lexicon_term,term
contact,release_status,lexicon_term,term
contact,contact_type,lexicon_term,term
contact,organization,lexicon_term,term
contact,role,lexicon_term,term
data_provenance,release_status,lexicon_term,term
data_provenance,accuracy_unit,lexicon_term,term
data_provenance,collection_method,lexicon_term,term
data_provenance,origin_type,lexicon_term,term
geochronology_age,method,lexicon_term,term
geologic_formation,lithology,lexicon_term,term
geologic_formation,release_status,lexicon_term,term
geologic_formation,formation_code,lexicon_term,term
lexicon_term_category_association,category_id,lexicon_category,id
lexicon_term_category_association,term_id,lexicon_term,id
lexicon_triple,object_,lexicon_term,term
lexicon_triple,subject,lexicon_term,term
location,nma_data_reliability,lexicon_term,term
location,release_status,lexicon_term,term
notes,note_type,lexicon_term,term
notes,release_status,lexicon_term,term
parameter,parameter_type,lexicon_term,term
parameter,default_unit,lexicon_term,term
parameter,matrix,lexicon_term,term
parameter,parameter_name,lexicon_term,term
parameter,release_status,lexicon_term,term
publication,publication_type,lexicon_term,term
sensor,sensor_status,lexicon_term,term
sensor,owner_agency,lexicon_term,term
sensor,release_status,lexicon_term,term
sensor,sensor_type,lexicon_term,term
status_history,status_type,lexicon_term,term
status_history,release_status,lexicon_term,term
status_history,status_value,lexicon_term,term
thing,well_construction_method,lexicon_term,term
thing,spring_type,lexicon_term,term
thing,thing_type,lexicon_term,term
thing,well_pump_type,lexicon_term,term
thing,formation_completion_code,lexicon_term,term
thing,release_status,lexicon_term,term
address,address_type,lexicon_term,term
address,contact_id,contact,id
address,release_status,lexicon_term,term
email,release_status,lexicon_term,term
email,contact_id,contact,id
email,email_type,lexicon_term,term
incomplete_nma_phone,contact_id,contact,id
permission_history,contact_id,contact,id
permission_history,permission_type,lexicon_term,term
permission_history,release_status,lexicon_term,term
phone,contact_id,contact,id
phone,release_status,lexicon_term,term
phone,phone_type,lexicon_term,term
pub_author_contact_association,contact_id,contact,id
pub_author_contact_association,author_id,pub_author,id
regulatory_limit,limit_unit,lexicon_term,term
regulatory_limit,release_status,lexicon_term,term
regulatory_limit,limit_source,lexicon_term,term
regulatory_limit,limit_type,lexicon_term,term
regulatory_limit,parameter_id,parameter,id
pub_author_publication_association,author_id,pub_author,id
pub_author_publication_association,publication_id,publication,id
asset_thing_association,asset_id,asset,id
asset_thing_association,thing_id,thing,id
collaborative_network_well,thing_id,thing,id
deployment,release_status,lexicon_term,term
deployment,recording_interval_units,lexicon_term,term
deployment,sensor_id,sensor,id
deployment,thing_id,thing,id
field_event,release_status,lexicon_term,term
field_event,thing_id,thing,id
"""group""",release_status,lexicon_term,term
"""group""",group_type,lexicon_term,term
"""group""",parent_group_id,"""group""",id
group_thing_association,group_id,"""group""",id
group_thing_association,thing_id,thing,id
location_thing_association,thing_id,thing,id
location_thing_association,location_id,location,id
measuring_point_history,release_status,lexicon_term,term
measuring_point_history,thing_id,thing,id
monitoring_frequency_history,release_status,lexicon_term,term
monitoring_frequency_history,monitoring_frequency,lexicon_term,term
monitoring_frequency_history,thing_id,thing,id
thing_aquifer_association,aquifer_system_id,aquifer_system,id
thing_aquifer_association,thing_id,thing,id
thing_aquifer_association,release_status,lexicon_term,term
thing_contact_association,thing_id,thing,id
thing_contact_association,contact_id,contact,id
thing_geologic_formation_association,thing_id,thing,id
thing_geologic_formation_association,geologic_formation_id,geologic_formation,id
thing_geologic_formation_association,release_status,lexicon_term,term
thing_id_link,thing_id,thing,id
thing_id_link,alternate_organization,lexicon_term,term
thing_id_link,relation,lexicon_term,term
thing_id_link,release_status,lexicon_term,term
transducer_observation_block,reviewer_id,contact,id
transducer_observation_block,release_status,lexicon_term,term
transducer_observation_block,review_status,lexicon_term,term
transducer_observation_block,thing_id,thing,id
transducer_observation_block,parameter_id,parameter,id
well_casing_material,material,lexicon_term,term
well_casing_material,release_status,lexicon_term,term
well_casing_material,thing_id,thing,id
well_purpose,thing_id,thing,id
well_purpose,purpose,lexicon_term,term
well_purpose,release_status,lexicon_term,term
well_screen,screen_type,lexicon_term,term
well_screen,geologic_formation_id,geologic_formation,id
well_screen,release_status,lexicon_term,term
well_screen,thing_id,thing,id
well_screen,aquifer_system_id,aquifer_system,id
transducer_observation,release_status,lexicon_term,term
transducer_observation,parameter_id,parameter,id
transducer_observation,deployment_id,deployment,id
field_activity,release_status,lexicon_term,term
field_activity,activity_type,lexicon_term,term
field_activity,field_event_id,field_event,id
field_event_participant,release_status,lexicon_term,term
field_event_participant,contact_id,contact,id
field_event_participant,field_event_id,field_event,id
field_event_participant,participant_role,lexicon_term,term
aquifer_type,thing_aquifer_association_id,thing_aquifer_association,id
aquifer_type,aquifer_type,lexicon_term,term
aquifer_type,release_status,lexicon_term,term
sample,field_event_participant_id,field_event_participant,id
sample,sample_matrix,lexicon_term,term
sample,sample_method,lexicon_term,term
sample,release_status,lexicon_term,term
sample,field_activity_id,field_activity,id
observation,parameter_id,parameter,id
observation,sample_id,sample,id
observation,sensor_id,sensor,id
observation,unit,lexicon_term,term
observation,analysis_method_id,analysis_method,id
observation,nma_data_quality,lexicon_term,term
observation,release_status,lexicon_term,term
observation,groundwater_level_reason,lexicon_term,term
"""NMA_WaterLevelsContinuous_Pressure_Daily""",thing_id,thing,id
"""NMA_Chemistry_SampleInfo""",thing_id,thing,id
"""NMA_Chemistry_SampleInfo""",thing_id,thing,id
"""NMA_SurfaceWaterData""",thing_id,thing,id
"""NMA_MinorTraceChemistry""",chemistry_sample_info_id,"""NMA_Chemistry_SampleInfo""",id
