table_field,nonnull_count,schema,table,field
[Chemistry SampleInfo].SamplePtID,11430,dbo,[Chemistry SampleInfo],SamplePtID
[Chemistry SampleInfo].WCLab_ID,1293,dbo,[Chemistry SampleInfo],WCLab_ID
[Chemistry SampleInfo].SamplePointID,11430,dbo,[Chemistry SampleInfo],SamplePointID
[Chemistry SampleInfo].AnalysesAgency,5263,dbo,[Chemistry SampleInfo],AnalysesAgency
[Chemistry SampleInfo].StudySample,3014,dbo,[Chemistry SampleInfo],StudySample
[Chemistry SampleInfo].DataQuality,11430,dbo,[Chemistry SampleInfo],DataQuality
[Chemistry SampleInfo].SampleType,11408,dbo,[Chemistry SampleInfo],SampleType
[Chemistry SampleInfo].CollectionDate,11424,dbo,[Chemistry SampleInfo],CollectionDate
[Chemistry SampleInfo].CollectionMethod,9974,dbo,[Chemistry SampleInfo],CollectionMethod
[Chemistry SampleInfo].CollectedBy,10903,dbo,[Chemistry SampleInfo],CollectedBy
[Chemistry SampleInfo].WaterType,312,dbo,[Chemistry SampleInfo],WaterType
[Chemistry SampleInfo].SampleNotes,6052,dbo,[Chemistry SampleInfo],SampleNotes
[Chemistry SampleInfo].DataSource,10596,dbo,[Chemistry SampleInfo],DataSource
[Chemistry SampleInfo].SampleMaterialNotH2O,19,dbo,[Chemistry SampleInfo],SampleMaterialNotH2O
[Chemistry SampleInfo].OBJECTID,11430,dbo,[Chemistry SampleInfo],OBJECTID
[Chemistry SampleInfo].LocationId,11428,dbo,[Chemistry SampleInfo],LocationId
[Chemistry SampleInfo].AddedDaytoDate,11430,dbo,[Chemistry SampleInfo],AddedDaytoDate
[Chemistry SampleInfo].AddedMonthDaytoDate,11430,dbo,[Chemistry SampleInfo],AddedMonthDaytoDate
[Chemistry SampleInfo].PublicRelease,11430,dbo,[Chemistry SampleInfo],PublicRelease
[LU_Depth/CompletionSource].CODE,10,dbo,[LU_Depth/CompletionSource],CODE
[LU_Depth/CompletionSource].MEANING,10,dbo,[LU_Depth/CompletionSource],MEANING
[LU_Depth/CompletionSource].id,10,dbo,[LU_Depth/CompletionSource],id
[LU_Discharge/ChemistrySource].CODE,5,dbo,[LU_Discharge/ChemistrySource],CODE
[LU_Discharge/ChemistrySource].MEANING,5,dbo,[LU_Discharge/ChemistrySource],MEANING
[LU_Discharge/ChemistrySource].id,5,dbo,[LU_Discharge/ChemistrySource],id
abcwells.PointID,1066,dbo,abcwells,PointID
abcwells.HoleDepth,724,dbo,abcwells,HoleDepth
abcwells.WellDepth,873,dbo,abcwells,WellDepth
AllWQ_CrossTab_NDs_Working.OBJECTID,5670,dbo,AllWQ_CrossTab_NDs_Working,OBJECTID
AllWQ_CrossTab_NDs_Working.SamplePtID,5670,dbo,AllWQ_CrossTab_NDs_Working,SamplePtID
AllWQ_CrossTab_NDs_Working.PointID,5670,dbo,AllWQ_CrossTab_NDs_Working,PointID
AllWQ_CrossTab_NDs_Working.SiteNames,4280,dbo,AllWQ_CrossTab_NDs_Working,SiteNames
AllWQ_CrossTab_NDs_Working.Easting,5670,dbo,AllWQ_CrossTab_NDs_Working,Easting
AllWQ_CrossTab_NDs_Working.Northing,5670,dbo,AllWQ_CrossTab_NDs_Working,Northing
AllWQ_CrossTab_NDs_Working.DataReliability,5669,dbo,AllWQ_CrossTab_NDs_Working,DataReliability
AllWQ_CrossTab_NDs_Working.SamplePointID,5670,dbo,AllWQ_CrossTab_NDs_Working,SamplePointID
AllWQ_CrossTab_NDs_Working.StudySample,2791,dbo,AllWQ_CrossTab_NDs_Working,StudySample
AllWQ_CrossTab_NDs_Working.WaterType,205,dbo,AllWQ_CrossTab_NDs_Working,WaterType
AllWQ_CrossTab_NDs_Working.SampleType,5668,dbo,AllWQ_CrossTab_NDs_Working,SampleType
AllWQ_CrossTab_NDs_Working.Altitude,5651,dbo,AllWQ_CrossTab_NDs_Working,Altitude
AllWQ_CrossTab_NDs_Working.AquiferType,506,dbo,AllWQ_CrossTab_NDs_Working,AquiferType
AllWQ_CrossTab_NDs_Working.AqClass,376,dbo,AllWQ_CrossTab_NDs_Working,AqClass
AllWQ_CrossTab_NDs_Working.WellDepth,3564,dbo,AllWQ_CrossTab_NDs_Working,WellDepth
AllWQ_CrossTab_NDs_Working.FormationZone,3119,dbo,AllWQ_CrossTab_NDs_Working,FormationZone
AllWQ_CrossTab_NDs_Working.CollectionDate,5667,dbo,AllWQ_CrossTab_NDs_Working,CollectionDate
AllWQ_CrossTab_NDs_Working.SiteType,5670,dbo,AllWQ_CrossTab_NDs_Working,SiteType
AllWQ_CrossTab_NDs_Working.CountOfSamplePointID,5670,dbo,AllWQ_CrossTab_NDs_Working,CountOfSamplePointID
AllWQ_CrossTab_NDs_Working.CollectedBy,5507,dbo,AllWQ_CrossTab_NDs_Working,CollectedBy
AllWQ_CrossTab_NDs_Working.DataSource,5462,dbo,AllWQ_CrossTab_NDs_Working,DataSource
AllWQ_CrossTab_NDs_Working.DataQuality,5670,dbo,AllWQ_CrossTab_NDs_Working,DataQuality
