model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|9887|9331|5.6235460705977545
PointID|Table|Field|Error
BC-0031|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0039|WellData|FormationZone|Unknown formation: 221MRSN/221BLUF
BC-0043|WellData|FormationZone|Unknown formation: 210MNCS/211DKOT
BC-0051|WellData|FormationZone|Unknown formation: 211MENF/211PNLK
BC-0057|WellData|FormationZone|Unknown formation: 211MENF/211PNLK
BC-0061|WellData|FormationZone|Unknown formation: 211MENF/211PNLK
BC-0079|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0080|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0086|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0088|WellData|FormationZone|Unknown formation: 310GLOR/300YESO
BC-0162|WellData|FormationZone|Unknown formation: 230MNKP
BC-0221|WellData|FormationZone|Unknown formation: 310GLOR/300YESO
BC-0241|WellData|FormationZone|Unknown formation: 410PRCGf
BC-0268|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0269|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0272|WellData|FormationZone|Unknown formation: 231AGZC/230MNKP
BC-0317|WellData|FormationZone|Unknown formation: 211MENF/211PNLK
BW-0077|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0090|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0096|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0097|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0098|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0099|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0100|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0101|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0102|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0103|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0106|WellData|FormationZone|Unknown formation: 110ALVM/313SADG
BW-0109|WellData|FormationZone|Unknown formation: 110ALVM/300YESO
BW-0115|WellData|FormationZone|Unknown formation: 211MVRD/110ALVM
BW-0116|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0119|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0120|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0132|WellData|FormationZone|Unknown formation: 110ALVM/210MNCS
BW-0137|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0138|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0142|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
BW-0143|WellData|FormationZone|Unknown formation: 110ALVM/211MVRD
CX-0002|WellData|FormationZone|Unknown formation: 121OGLL/000EXRV
CX-0003|WellData|FormationZone|Unknown formation: 000EXRV/121OGLL
CX-0062|WellData|FormationZone|Unknown formation: 121OGLL/211DKOT
PC-007|WellData|FormationZone|Unknown formation: 211MENFL
PC-009|WellData|FormationZone|Unknown formation: 211MENFL
PC-065|WellData|FormationZone|Unknown formation: 325MDER/318ABO
PC-074|WellData|FormationZone|Unknown formation: 112SNTFT
PC-085|WellData|FormationZone|Unknown formation: 211MENFL
PC-096|WellData|FormationZone|Unknown formation: 110AVMB/210MNCSL
PC-097|WellData|FormationZone|Unknown formation: 211MENFL
PC-099|WellData|FormationZone|Unknown formation: 112SNTFT
PC-110|WellData|FormationZone|Unknown formation: 112SNTFT
PC-112|WellData|FormationZone|Unknown formation: 112SNTFT
PC-115|WellData|FormationZone|Unknown formation: 112SNTFT
PC-124|WellData|FormationZone|Unknown formation: 112SNTFT
PP-006|WellData|FormationZone|Unknown formation: 122TSUQdx/123PICSu
PP-008|WellData|FormationZone|Unknown formation: 123PICSu
PP-011|WellData|FormationZone|Unknown formation: 123PICSu
PP-017|WellData|FormationZone|Unknown formation: 110ALVM/123PICSm
PP-022|WellData|FormationZone|Unknown formation: 122TSUQdx/123PICSu
PP-023|WellData|FormationZone|Unknown formation: 123PICSu
PP-026|WellData|FormationZone|Unknown formation: 123PICSu/123PICSm
PP-027|WellData|FormationZone|Unknown formation: 123PICSu
PP-028|WellData|FormationZone|Unknown formation: 122TSUQdx/123PICSu
PP-029|WellData|FormationZone|Unknown formation: 123PICSu
PP-030|WellData|FormationZone|Unknown formation: 122TSUQdx
PP-031|WellData|FormationZone|Unknown formation: 122TSUQdx
PP-036|WellData|FormationZone|Unknown formation: 123PICSm
PP-038|WellData|FormationZone|Unknown formation: 123PICSm
PP-054|WellData|FormationZone|Unknown formation: 122TSUQdx/123PICSu
PP-059|WellData|FormationZone|Unknown formation: 123PICSu/123PICSm
PP-069|WellData|FormationZone|Unknown formation: 123PICSu
QY-0015|WellData|FormationZone|Unknown formation: 110AVMB/221MRSN
QY-0025|WellData|FormationZone|Unknown formation: 110AVMB/221MRSN
QY-0028|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0052|WellData|FormationZone|Unknown formation: 110AVMB/231CHNL
QY-0053|WellData|FormationZone|Unknown formation: 110AVMB/231CHNL
QY-0083|WellData|FormationZone|Unknown formation: 110AVMB/231CHNL
QY-0115|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0146|WellData|FormationZone|Unknown formation: 110AVMB/231CHNL
QY-0158|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0161|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0167|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0180|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0181|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0182|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0183|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0184|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0185|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0199|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0200|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0201|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0217|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0218|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0225|WellData|FormationZone|Unknown formation: 110AVMB/220ENRD
QY-0230|WellData|FormationZone|Unknown formation: 110AVMB/221MRSN
QY-0231|WellData|FormationZone|Unknown formation: 110AVMB/221MRSN
QY-0234|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0236|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0251|WellData|FormationZone|Unknown formation: 221MRSN/220ENRD
QY-0264|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0271|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0395|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0396|WellData|FormationZone|Unknown formation: 231CHNL/231SNRS
QY-0402|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
QY-0403|WellData|FormationZone|Unknown formation: 110ALVM/231CHNL
